name,type,value,date
Brazil,,20175,1982/1/1
Brazil,,21899,1983/1/1
Brazil,,27005,1984/1/1
Brazil,,25639,1985/1/1
Brazil,,22349,1986/1/1
Brazil,,26224,1987/1/1
Brazil,,33494,1988/1/1
Brazil,,34383,1989/1/1
Brazil,,31414,1990/1/1
Brazil,,31620,1991/1/1
Brazil,,35793,1992/1/1
Brazil,,38555,1993/1/1
Brazil,,43545,1994/1/1
Brazil,,46506,1995/1/1
Brazil,,47747,1996/1/1
Brazil,,52994,1997/1/1
Brazil,,51140,1998/1/1
Brazil,,48013,1999/1/1
Brazil,,55119,2000/1/1
Brazil,,58287,2001/1/1
Brazil,,60439,2002/1/1
Brazil,,73203,2003/1/1
Brazil,,96678,2004/1/1
Brazil,,118529,2005/1/1
Brazil,,137807,2006/1/1
Brazil,,160649,2007/1/1
Brazil,,197942,2008/1/1
Brazil,,152995,2009/1/1
Brazil,,201915,2010/1/1
Brazil,,256040,2011/1/1
Brazil,,242578,2012/1/1
Brazil,,242034,2013/1/1
Brazil,,225101,2014/1/1
Brazil,,191134,2015/1/1
Brazil,,185232,2016/1/1
Brazil,,217739,2017/1/1
Brazil,,239264,2018/1/1
Brazil,,225383,2019/1/1
Brazil,,209878,2020/1/1
Canada,,3202,1948/1/1
Canada,,3050,1949/1/1
Canada,,3020,1950/1/1
Canada,,3911,1951/1/1
Canada,,4630,1952/1/1
Canada,,4385,1953/1/1
Canada,,4197,1954/1/1
Canada,,4574,1955/1/1
Canada,,5157,1956/1/1
Canada,,5345,1957/1/1
Canada,,5273,1958/1/1
Canada,,5617,1959/1/1
Canada,,5818,1960/1/1
Canada,,6085,1961/1/1
Canada,,6213,1962/1/1
Canada,,6777,1963/1/1
Canada,,8037,1964/1/1
Canada,,8473,1965/1/1
Canada,,10005,1966/1/1
Canada,,11000,1967/1/1
Canada,,13171,1968/1/1
Canada,,14350,1969/1/1
Canada,,16787,1970/1/1
Canada,,18374,1971/1/1
Canada,,21185,1972/1/1
Canada,,26437,1973/1/1
Canada,,34508,1974/1/1
Canada,,34074,1975/1/1
Canada,,40598,1976/1/1
Canada,,43545,1977/1/1
Canada,,48432,1978/1/1
Canada,,58294,1979/1/1
Canada,,67734,1980/1/1
Canada,,72726,1981/1/1
Canada,,71234,1982/1/1
Canada,,76749,1983/1/1
Canada,,90272,1984/1/1
Canada,,90950,1985/1/1
Canada,,90329,1986/1/1
Canada,,98168,1987/1/1
Canada,,117105,1988/1/1
Canada,,121832,1989/1/1
Canada,,127629,1990/1/1
Canada,,127163,1991/1/1
Canada,,134435,1992/1/1
Canada,,145178,1993/1/1
Canada,,165376,1994/1/1
Canada,,192197,1995/1/1
Canada,,201633,1996/1/1
Canada,,214422,1997/1/1
Canada,,214327,1998/1/1
Canada,,238446,1999/1/1
Canada,,276635,2000/1/1
Canada,,259858,2001/1/1
Canada,,252394,2002/1/1
Canada,,272739,2003/1/1
Canada,,316762,2004/1/1
Canada,,360475,2005/1/1
Canada,,388178,2006/1/1
Canada,,420693,2007/1/1
Canada,,456471,2008/1/1
Canada,,316094,2009/1/1
Canada,,387481,2010/1/1
Canada,,451335,2011/1/1
Canada,,455592,2012/1/1
Canada,,458318,2013/1/1
Canada,,476300,2014/1/1
Canada,,410062,2015/1/1
Canada,,389991,2016/1/1
Canada,,420665,2017/1/1
Canada,,450743,2018/1/1
Canada,,446585,2019/1/1
Canada,,390668,2020/1/1
China,,520,1948/1/1
China,,0,1949/1/1
China,,550,1950/1/1
China,,760,1951/1/1
China,,820,1952/1/1
China,,1020,1953/1/1
China,,1150,1954/1/1
China,,1410,1955/1/1
China,,1650,1956/1/1
China,,2214,1957/1/1
China,,2726,1958/1/1
China,,3172,1959/1/1
China,,2571,1960/1/1
China,,1942,1961/1/1
China,,1913,1962/1/1
China,,2031,1963/1/1
China,,2250,1964/1/1
China,,2563,1965/1/1
China,,2681,1966/1/1
China,,2388,1967/1/1
China,,2340,1968/1/1
China,,2429,1969/1/1
China,,2307,1970/1/1
China,,2783,1971/1/1
China,,3693,1972/1/1
China,,5876,1973/1/1
China,,7108,1974/1/1
China,,7689,1975/1/1
China,,6943,1976/1/1
China,,7520,1977/1/1
China,,9955,1978/1/1
China,,13614,1979/1/1
China,,18099,1980/1/1
China,,22007,1981/1/1
China,,22321,1982/1/1
China,,22226,1983/1/1
China,,26139,1984/1/1
China,,27350,1985/1/1
China,,30942,1986/1/1
China,,39437,1987/1/1
China,,47516,1988/1/1
China,,52538,1989/1/1
China,,62091,1990/1/1
China,,71910,1991/1/1
China,,84940,1992/1/1
China,,91744,1993/1/1
China,,121006,1994/1/1
China,,148780,1995/1/1
China,,151048,1996/1/1
China,,182792,1997/1/1
China,,183712,1998/1/1
China,,194931,1999/1/1
China,,249203,2000/1/1
China,,266098,2001/1/1
China,,325596,2002/1/1
China,,438228,2003/1/1
China,,593326,2004/1/1
China,,761953,2005/1/1
China,,968978,2006/1/1
China,,1220456,2007/1/1
China,,1430693,2008/1/1
China,,1201612,2009/1/1
China,,1577754,2010/1/1
China,,1898381,2011/1/1
China,,2048714,2012/1/1
China,,2209005,2013/1/1
China,,2342293,2014/1/1
China,,2273468,2015/1/1
China,,2097632,2016/1/1
China,,2263346,2017/1/1
China,,2486695,2018/1/1
China,,2499457,2019/1/1
China,,2591121,2020/1/1
Czech Republic,,,1948/1/1
Czech Republic,,,1949/1/1
Czech Republic,,,1950/1/1
Czech Republic,,,1951/1/1
Czech Republic,,,1952/1/1
Czech Republic,,,1953/1/1
Czech Republic,,,1954/1/1
Czech Republic,,,1955/1/1
Czech Republic,,,1956/1/1
Czech Republic,,,1957/1/1
Czech Republic,,,1958/1/1
Czech Republic,,,1959/1/1
Czech Republic,,,1960/1/1
Czech Republic,,,1961/1/1
Czech Republic,,,1962/1/1
Czech Republic,,,1963/1/1
Czech Republic,,,1964/1/1
Czech Republic,,,1965/1/1
Czech Republic,,,1966/1/1
Czech Republic,,,1967/1/1
Czech Republic,,,1968/1/1
Czech Republic,,,1969/1/1
Czech Republic,,,1970/1/1
Czech Republic,,,1971/1/1
Czech Republic,,,1972/1/1
Czech Republic,,,1973/1/1
Czech Republic,,,1974/1/1
Czech Republic,,,1975/1/1
Czech Republic,,,1976/1/1
Czech Republic,,,1977/1/1
Czech Republic,,,1978/1/1
Czech Republic,,,1979/1/1
Czech Republic,,,1980/1/1
Czech Republic,,,1981/1/1
Czech Republic,,,1982/1/1
Czech Republic,,,1983/1/1
Czech Republic,,,1984/1/1
Czech Republic,,,1985/1/1
Czech Republic,,,1986/1/1
Czech Republic,,,1987/1/1
Czech Republic,,,1988/1/1
Czech Republic,,,1989/1/1
Czech Republic,,,1990/1/1
Czech Republic,,,1991/1/1
Czech Republic,,,1992/1/1
Czech Republic,,14465,1993/1/1
Czech Republic,,15940,1994/1/1
Czech Republic,,21335,1995/1/1
Czech Republic,,22165,1996/1/1
Czech Republic,,22360,1997/1/1
Czech Republic,,25855,1998/1/1
Czech Republic,,26556,1999/1/1
Czech Republic,,29094,2000/1/1
Czech Republic,,33324,2001/1/1
Czech Republic,,38492,2002/1/1
Czech Republic,,48702,2003/1/1
Czech Republic,,68986,2004/1/1
Czech Republic,,78110,2005/1/1
Czech Republic,,94929,2006/1/1
Czech Republic,,122498,2007/1/1
Czech Republic,,146799,2008/1/1
Czech Republic,,112955,2009/1/1
Czech Republic,,132982,2010/1/1
Czech Republic,,162939,2011/1/1
Czech Republic,,157041,2012/1/1
Czech Republic,,162274,2013/1/1
Czech Republic,,175021,2014/1/1
Czech Republic,,157878,2015/1/1
Czech Republic,,162692,2016/1/1
Czech Republic,,182142,2017/1/1
Czech Republic,,202238,2018/1/1
Czech Republic,,199128,2019/1/1
Czech Republic,,191685,2020/1/1
France,,2012,1948/1/1
France,,2781,1949/1/1
France,,3082,1950/1/1
France,,4241,1951/1/1
France,,4046,1952/1/1
France,,4019,1953/1/1
France,,4313,1954/1/1
France,,4960,1955/1/1
France,,4641,1956/1/1
France,,5223,1957/1/1
France,,5129,1958/1/1
France,,5621,1959/1/1
France,,6866,1960/1/1
France,,7224,1961/1/1
France,,7411,1962/1/1
France,,8204,1963/1/1
France,,9106,1964/1/1
France,,10176,1965/1/1
France,,10982,1966/1/1
France,,11547,1967/1/1
France,,12903,1968/1/1
France,,15194,1969/1/1
France,,18099,1970/1/1
France,,20811,1971/1/1
France,,26449,1972/1/1
France,,36669,1973/1/1
France,,46259,1974/1/1
France,,53100,1975/1/1
France,,56874,1976/1/1
France,,65130,1977/1/1
France,,79371,1978/1/1
France,,100692,1979/1/1
France,,116030,1980/1/1
France,,106424,1981/1/1
France,,96694,1982/1/1
France,,94943,1983/1/1
France,,97566,1984/1/1
France,,101674,1985/1/1
France,,124948,1986/1/1
France,,148382,1987/1/1
France,,167787,1988/1/1
France,,179397,1989/1/1
France,,216588,1990/1/1
France,,217100,1991/1/1
France,,235871,1992/1/1
France,,221619,1993/1/1
France,,250571,1994/1/1
France,,301162,1995/1/1
France,,305509,1996/1/1
France,,302144,1997/1/1
France,,320631,1998/1/1
France,,325526,1999/1/1
France,,327611,2000/1/1
France,,323379,2001/1/1
France,,331719,2002/1/1
France,,392039,2003/1/1
France,,452106,2004/1/1
France,,463428,2005/1/1
France,,495868,2006/1/1
France,,559612,2007/1/1
France,,616240,2008/1/1
France,,484781,2009/1/1
France,,523767,2010/1/1
France,,596473,2011/1/1
France,,568708,2012/1/1
France,,580963,2013/1/1
France,,581393,2014/1/1
France,,506264,2015/1/1
France,,501179,2016/1/1
France,,535298,2017/1/1
France,,582222,2018/1/1
France,,570951,2019/1/1
France,,488345,2020/1/1
Germany,,791,1948/1/1
Germany,,985,1949/1/1
Germany,,1993,1950/1/1
Germany,,3475,1951/1/1
Germany,,4031,1952/1/1
Germany,,4411,1953/1/1
Germany,,5246,1954/1/1
Germany,,6124,1955/1/1
Germany,,7348,1956/1/1
Germany,,8564,1957/1/1
Germany,,8810,1958/1/1
Germany,,9807,1959/1/1
Germany,,11416,1960/1/1
Germany,,12651,1961/1/1
Germany,,13244,1962/1/1
Germany,,14578,1963/1/1
Germany,,16230,1964/1/1
Germany,,17913,1965/1/1
Germany,,20157,1966/1/1
Germany,,21761,1967/1/1
Germany,,24888,1968/1/1
Germany,,28852,1969/1/1
Germany,,34228,1970/1/1
Germany,,38845,1971/1/1
Germany,,46737,1972/1/1
Germany,,67563,1973/1/1
Germany,,89368,1974/1/1
Germany,,90176,1975/1/1
Germany,,102162,1976/1/1
Germany,,118072,1977/1/1
Germany,,142453,1978/1/1
Germany,,171804,1979/1/1
Germany,,192860,1980/1/1
Germany,,176047,1981/1/1
Germany,,176424,1982/1/1
Germany,,169417,1983/1/1
Germany,,171735,1984/1/1
Germany,,183933,1985/1/1
Germany,,243326,1986/1/1
Germany,,294369,1987/1/1
